id,marca,modelo,plataforma_compra,calificacion,sentimiento,aspecto_principal,comentario
3956,Motorola,Moto G84,Amazon,4,Positivo,servicio al cliente,Llegó antes de la fecha prometida y en perfectas condiciones
3957,Samsung,Galaxy A35,Tienda Oficial Samsung,5,Positivo,precio,Superó mis expectativas en rendimiento y batería
3958,Xiaomi,Redmi Note 13,Mercado Libre,4,Positivo,rendimiento,"Gran relación calidad precio, recomendado"
3959,Samsung,Galaxy S24,Mercado Libre,5,Positivo,pantalla,Muy buena cámara y excelente rendimiento
3960,Motorola,Moto G54,Amazon,4,Positivo,cámara,La pantalla tiene muy buena calidad y la entrega fue puntual
3961,Samsung,Galaxy A55,Mercado Libre,4,Positivo,batería,Superó mis expectativas en rendimiento y batería
3962,Motorola,Edge 50,Amazon,2,Negativo,rendimiento,El rendimiento es lento para algunas aplicaciones
3963,Apple,iPhone 15,Mercado Libre,4,Positivo,entrega,El servicio fue excelente y recibí el producto rápidamente
3964,Xiaomi,Redmi Note 13,Tienda Oficial Xiaomi,1,Negativo,almacenamiento,El equipo se calienta demasiado durante el uso
3965,Samsung,Galaxy A55,Tienda Oficial Samsung,5,Positivo,rendimiento,Llegó antes de la fecha prometida y en perfectas condiciones
3966,Huawei,P60,Amazon,3,Neutral,servicio al cliente,Es un equipo normal para el uso diario
3967,Motorola,Moto G84,Mercado Libre,5,Positivo,almacenamiento,El servicio fue excelente y recibí el producto rápidamente
3968,Xiaomi,Poco X6,Amazon,4,Positivo,entrega,Llegó antes de la fecha prometida y en perfectas condiciones
3969,Motorola,Moto G84,Mercado Libre,1,Negativo,batería,La cámara no cumple con lo prometido
3970,Xiaomi,Redmi Note 13,Tienda Oficial Xiaomi,4,Positivo,almacenamiento,Superó mis expectativas en rendimiento y batería
3971,Apple,iPhone 16e,Amazon,5,Positivo,cámara,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
3972,Motorola,Moto G84,Amazon,2,Negativo,batería,La entrega se demoró demasiado y llegó fuera de la fecha prometida
3973,Apple,iPhone 14,Amazon,3,Neutral,rendimiento,El producto llegó correctamente aunque tardó algunos días
3974,Xiaomi,Redmi Note 14,Mercado Libre,1,Negativo,servicio al cliente,El rendimiento es lento para algunas aplicaciones
3975,Xiaomi,Redmi Note 14,Tienda Oficial Xiaomi,5,Positivo,entrega,La pantalla tiene muy buena calidad y la entrega fue puntual
3976,Motorola,Moto G54,Tienda Oficial Motorola,4,Positivo,almacenamiento,La pantalla tiene muy buena calidad y la entrega fue puntual
3977,Huawei,Mate 50,Amazon,2,Negativo,rendimiento,El equipo se calienta demasiado durante el uso
3978,Apple,iPhone 15,Tienda Oficial Apple,4,Positivo,cámara,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
3979,Xiaomi,Redmi Note 14,Amazon,3,Neutral,cámara,El producto llegó correctamente aunque tardó algunos días
3980,Xiaomi,Poco X6,Amazon,5,Positivo,batería,Muy satisfecho con la compra y el tiempo de entrega
3981,Samsung,Galaxy A35,Amazon,3,Neutral,pantalla,Es un equipo normal para el uso diario
3982,Motorola,Moto G54,Amazon,3,Neutral,servicio al cliente,La batería tiene un rendimiento promedio
3983,Huawei,Mate 50,Amazon,4,Positivo,batería,La pantalla tiene muy buena calidad y la entrega fue puntual
3984,Samsung,Galaxy S24,Tienda Oficial Samsung,1,Negativo,cámara,La entrega se demoró demasiado y llegó fuera de la fecha prometida
3985,Motorola,Moto G84,Mercado Libre,3,Neutral,rendimiento,Tiene ventajas y desventajas según el uso
3986,Motorola,Edge 50,Tienda Oficial Motorola,3,Neutral,batería,La cámara es aceptable para su precio
3987,Motorola,Moto G54,Tienda Oficial Motorola,5,Positivo,batería,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
3988,Apple,iPhone 14,Tienda Oficial Apple,1,Negativo,servicio al cliente,La entrega se demoró demasiado y llegó fuera de la fecha prometida
3989,Samsung,Galaxy A55,Tienda Oficial Samsung,3,Neutral,precio,La batería tiene un rendimiento promedio
3990,Motorola,Moto G54,Amazon,5,Positivo,servicio al cliente,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
3991,Apple,iPhone 16e,Tienda Oficial Apple,5,Positivo,servicio al cliente,La pantalla tiene muy buena calidad y la entrega fue puntual
3992,Huawei,Mate 50,Mercado Libre,4,Positivo,rendimiento,Muy buena cámara y excelente rendimiento
3993,Xiaomi,Redmi Note 14,Mercado Libre,5,Positivo,entrega,Muy buena cámara y excelente rendimiento
3994,Samsung,Galaxy S24,Tienda Oficial Samsung,5,Positivo,servicio al cliente,"Gran relación calidad precio, recomendado"
3995,Samsung,Galaxy A35,Amazon,4,Positivo,entrega,Muy buena cámara y excelente rendimiento
3996,Samsung,Galaxy A55,Tienda Oficial Samsung,5,Positivo,entrega,La pantalla tiene muy buena calidad y la entrega fue puntual
3997,Apple,iPhone 15,Tienda Oficial Apple,5,Positivo,batería,La pantalla tiene muy buena calidad y la entrega fue puntual
3998,Samsung,Galaxy A55,Tienda Oficial Samsung,5,Positivo,entrega,La pantalla tiene muy buena calidad y la entrega fue puntual
3999,Huawei,P60,Mercado Libre,5,Positivo,cámara,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
4000,Xiaomi,Redmi Note 14,Amazon,3,Neutral,servicio al cliente,La batería tiene un rendimiento promedio
4001,Samsung,Galaxy A55,Amazon,2,Negativo,precio,El equipo se calienta demasiado durante el uso
4002,Xiaomi,Redmi Note 13,Amazon,5,Positivo,cámara,Muy buena cámara y excelente rendimiento
4003,Huawei,Mate 50,Amazon,3,Neutral,almacenamiento,El producto llegó correctamente aunque tardó algunos días
4004,Samsung,Galaxy A55,Mercado Libre,5,Positivo,cámara,Superó mis expectativas en rendimiento y batería
4005,Huawei,P60,Amazon,5,Positivo,almacenamiento,Superó mis expectativas en rendimiento y batería
4006,Motorola,Moto G84,Tienda Oficial Motorola,3,Neutral,servicio al cliente,Es un equipo normal para el uso diario
4007,Samsung,Galaxy A55,Mercado Libre,4,Positivo,batería,La pantalla tiene muy buena calidad y la entrega fue puntual
4008,Huawei,Mate 50,Amazon,5,Positivo,entrega,"Gran relación calidad precio, recomendado"
4009,Apple,iPhone 16e,Tienda Oficial Apple,2,Negativo,servicio al cliente,El equipo se calienta demasiado durante el uso
4010,Samsung,Galaxy S24,Tienda Oficial Samsung,2,Negativo,almacenamiento,La cámara no cumple con lo prometido
4011,Motorola,Edge 50,Amazon,3,Neutral,rendimiento,Es un equipo normal para el uso diario
4012,Huawei,P60,Mercado Libre,3,Neutral,rendimiento,El producto llegó correctamente aunque tardó algunos días
4013,Xiaomi,Redmi Note 14,Mercado Libre,2,Negativo,cámara,La entrega se demoró demasiado y llegó fuera de la fecha prometida
4014,Xiaomi,Redmi Note 14,Amazon,3,Neutral,servicio al cliente,El producto llegó correctamente aunque tardó algunos días
4015,Apple,iPhone 14,Mercado Libre,4,Positivo,precio,Muy satisfecho con la compra y el tiempo de entrega
4016,Xiaomi,Redmi Note 14,Amazon,5,Positivo,cámara,Llegó antes de la fecha prometida y en perfectas condiciones
4017,Motorola,Moto G84,Tienda Oficial Motorola,3,Neutral,rendimiento,La cámara es aceptable para su precio
4018,Motorola,Moto G54,Tienda Oficial Motorola,4,Positivo,servicio al cliente,Muy buena cámara y excelente rendimiento
4019,Motorola,Edge 50,Mercado Libre,4,Positivo,batería,"Gran relación calidad precio, recomendado"
4020,Motorola,Edge 50,Tienda Oficial Motorola,2,Negativo,cámara,El rendimiento es lento para algunas aplicaciones
4021,Huawei,Nova 12,Tienda Oficial Huawei,5,Positivo,batería,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
4022,Huawei,Nova 12,Tienda Oficial Huawei,4,Positivo,batería,Muy buena cámara y excelente rendimiento
4023,Samsung,Galaxy A55,Mercado Libre,5,Positivo,cámara,"Gran relación calidad precio, recomendado"
4024,Huawei,P60,Amazon,4,Positivo,cámara,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
4025,Samsung,Galaxy A35,Amazon,2,Negativo,rendimiento,El rendimiento es lento para algunas aplicaciones
4026,Huawei,Mate 50,Tienda Oficial Huawei,2,Negativo,entrega,La cámara no cumple con lo prometido
4027,Xiaomi,Poco X6,Amazon,4,Positivo,almacenamiento,Muy satisfecho con la compra y el tiempo de entrega
4028,Apple,iPhone 16e,Tienda Oficial Apple,3,Neutral,precio,La cámara es aceptable para su precio
4029,Apple,iPhone 15,Amazon,3,Neutral,pantalla,Tiene ventajas y desventajas según el uso
4030,Samsung,Galaxy S24,Tienda Oficial Samsung,5,Positivo,entrega,Muy buena cámara y excelente rendimiento
4031,Apple,iPhone 14,Tienda Oficial Apple,1,Negativo,rendimiento,La cámara no cumple con lo prometido
4032,Xiaomi,Redmi Note 14,Tienda Oficial Xiaomi,4,Positivo,entrega,El servicio fue excelente y recibí el producto rápidamente
4033,Huawei,Nova 12,Tienda Oficial Huawei,2,Negativo,cámara,La atención al cliente fue deficiente y la entrega tardó mucho
4034,Apple,iPhone 14,Tienda Oficial Apple,4,Positivo,rendimiento,"Gran relación calidad precio, recomendado"
4035,Xiaomi,Redmi Note 14,Tienda Oficial Xiaomi,3,Neutral,pantalla,Es un equipo normal para el uso diario
4036,Apple,iPhone 14,Amazon,5,Positivo,rendimiento,La pantalla tiene muy buena calidad y la entrega fue puntual
4037,Huawei,Mate 50,Amazon,3,Neutral,precio,Tiene ventajas y desventajas según el uso
4038,Huawei,P60,Mercado Libre,4,Positivo,almacenamiento,El servicio fue excelente y recibí el producto rápidamente
4039,Huawei,P60,Amazon,4,Positivo,rendimiento,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
4040,Apple,iPhone 14,Tienda Oficial Apple,2,Negativo,batería,La atención al cliente fue deficiente y la entrega tardó mucho
4041,Apple,iPhone 15,Mercado Libre,2,Negativo,batería,La cámara no cumple con lo prometido
4042,Apple,iPhone 16e,Amazon,4,Positivo,precio,Llegó antes de la fecha prometida y en perfectas condiciones
4043,Samsung,Galaxy A35,Mercado Libre,3,Neutral,servicio al cliente,Tiene ventajas y desventajas según el uso
4044,Samsung,Galaxy S24,Tienda Oficial Samsung,2,Negativo,entrega,La batería dura muy poco
4045,Xiaomi,Redmi Note 13,Tienda Oficial Xiaomi,4,Positivo,cámara,Llegó antes de la fecha prometida y en perfectas condiciones
4046,Huawei,P60,Tienda Oficial Huawei,2,Negativo,servicio al cliente,El equipo se calienta demasiado durante el uso
4047,Apple,iPhone 16e,Tienda Oficial Apple,3,Neutral,servicio al cliente,El producto llegó correctamente aunque tardó algunos días
4048,Motorola,Moto G54,Tienda Oficial Motorola,3,Neutral,pantalla,La cámara es aceptable para su precio
4049,Apple,iPhone 14,Amazon,5,Positivo,rendimiento,Muy satisfecho con la compra y el tiempo de entrega
4050,Samsung,Galaxy A55,Mercado Libre,5,Positivo,precio,Muy satisfecho con la compra y el tiempo de entrega
4051,Apple,iPhone 15,Tienda Oficial Apple,4,Positivo,almacenamiento,"Gran relación calidad precio, recomendado"
4052,Xiaomi,Redmi Note 13,Amazon,4,Positivo,rendimiento,Llegó antes de la fecha prometida y en perfectas condiciones
4053,Huawei,Nova 12,Amazon,4,Positivo,rendimiento,Muy buena cámara y excelente rendimiento
4054,Samsung,Galaxy S24,Amazon,4,Positivo,servicio al cliente,El servicio fue excelente y recibí el producto rápidamente
4055,Motorola,Moto G54,Amazon,4,Positivo,servicio al cliente,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
4056,Samsung,Galaxy A35,Amazon,2,Negativo,pantalla,Presentó fallas después de pocos días
4057,Samsung,Galaxy S24,Amazon,4,Positivo,entrega,El servicio fue excelente y recibí el producto rápidamente
4058,Motorola,Moto G84,Tienda Oficial Motorola,2,Negativo,precio,Mala relación calidad precio
4059,Samsung,Galaxy A35,Amazon,3,Neutral,cámara,El celular cumple con lo esperado
4060,Huawei,Nova 12,Mercado Libre,2,Negativo,pantalla,La cámara no cumple con lo prometido
4061,Xiaomi,Poco X6,Tienda Oficial Xiaomi,5,Positivo,batería,Llegó antes de la fecha prometida y en perfectas condiciones
4062,Xiaomi,Redmi Note 13,Tienda Oficial Xiaomi,4,Positivo,rendimiento,"Gran relación calidad precio, recomendado"
4063,Motorola,Edge 50,Tienda Oficial Motorola,3,Neutral,almacenamiento,Tiene ventajas y desventajas según el uso
4064,Apple,iPhone 14,Amazon,3,Neutral,pantalla,El producto llegó correctamente aunque tardó algunos días
4065,Samsung,Galaxy A35,Tienda Oficial Samsung,4,Positivo,entrega,Muy buena cámara y excelente rendimiento
4066,Apple,iPhone 14,Mercado Libre,1,Negativo,almacenamiento,El equipo se calienta demasiado durante el uso
4067,Xiaomi,Redmi Note 13,Tienda Oficial Xiaomi,4,Positivo,almacenamiento,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
4068,Apple,iPhone 15,Mercado Libre,1,Negativo,batería,Presentó fallas después de pocos días
4069,Motorola,Edge 50,Tienda Oficial Motorola,4,Positivo,precio,Muy satisfecho con la compra y el tiempo de entrega
4070,Apple,iPhone 14,Tienda Oficial Apple,3,Neutral,pantalla,El producto llegó correctamente aunque tardó algunos días
4071,Samsung,Galaxy A35,Tienda Oficial Samsung,4,Positivo,precio,Superó mis expectativas en rendimiento y batería
4072,Samsung,Galaxy A35,Mercado Libre,1,Negativo,entrega,El equipo se calienta demasiado durante el uso
4073,Samsung,Galaxy S24,Mercado Libre,4,Positivo,rendimiento,Llegó antes de la fecha prometida y en perfectas condiciones
4074,Huawei,Nova 12,Tienda Oficial Huawei,3,Neutral,rendimiento,La batería tiene un rendimiento promedio
4075,Apple,iPhone 16e,Tienda Oficial Apple,4,Positivo,almacenamiento,La pantalla tiene muy buena calidad y la entrega fue puntual
4076,Apple,iPhone 14,Tienda Oficial Apple,5,Positivo,rendimiento,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
4077,Samsung,Galaxy A55,Tienda Oficial Samsung,5,Positivo,pantalla,Superó mis expectativas en rendimiento y batería
4078,Huawei,Mate 50,Amazon,5,Positivo,pantalla,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
4079,Xiaomi,Redmi Note 13,Mercado Libre,4,Positivo,batería,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
4080,Motorola,Moto G54,Amazon,1,Negativo,servicio al cliente,El rendimiento es lento para algunas aplicaciones
4081,Samsung,Galaxy S24,Amazon,5,Positivo,rendimiento,Superó mis expectativas en rendimiento y batería
4082,Motorola,Edge 50,Amazon,5,Positivo,precio,Muy satisfecho con la compra y el tiempo de entrega
4083,Motorola,Moto G54,Amazon,5,Positivo,rendimiento,"Gran relación calidad precio, recomendado"
4084,Samsung,Galaxy A35,Tienda Oficial Samsung,4,Positivo,entrega,Muy satisfecho con la compra y el tiempo de entrega
4085,Motorola,Moto G54,Amazon,4,Positivo,entrega,Superó mis expectativas en rendimiento y batería
4086,Huawei,Mate 50,Amazon,2,Negativo,cámara,La cámara no cumple con lo prometido
4087,Xiaomi,Redmi Note 13,Amazon,4,Positivo,entrega,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
4088,Huawei,Nova 12,Tienda Oficial Huawei,4,Positivo,cámara,"Gran relación calidad precio, recomendado"
4089,Samsung,Galaxy A35,Mercado Libre,4,Positivo,cámara,"Gran relación calidad precio, recomendado"
4090,Huawei,Mate 50,Mercado Libre,2,Negativo,pantalla,La entrega se demoró demasiado y llegó fuera de la fecha prometida
4091,Motorola,Edge 50,Tienda Oficial Motorola,4,Positivo,rendimiento,Muy satisfecho con la compra y el tiempo de entrega
4092,Huawei,Mate 50,Amazon,4,Positivo,entrega,La pantalla tiene muy buena calidad y la entrega fue puntual
4093,Xiaomi,Poco X6,Amazon,4,Positivo,batería,Muy satisfecho con la compra y el tiempo de entrega
4094,Xiaomi,Redmi Note 14,Mercado Libre,2,Negativo,precio,Presentó fallas después de pocos días
4095,Motorola,Moto G54,Tienda Oficial Motorola,3,Neutral,servicio al cliente,La batería tiene un rendimiento promedio
4096,Huawei,Nova 12,Amazon,5,Positivo,precio,"Gran relación calidad precio, recomendado"
4097,Motorola,Moto G54,Amazon,2,Negativo,batería,El equipo se calienta demasiado durante el uso
4098,Motorola,Edge 50,Amazon,3,Neutral,precio,Es un equipo normal para el uso diario
4099,Huawei,Mate 50,Tienda Oficial Huawei,3,Neutral,entrega,La cámara es aceptable para su precio
4100,Huawei,P60,Amazon,3,Neutral,servicio al cliente,La cámara es aceptable para su precio
4101,Apple,iPhone 16e,Amazon,4,Positivo,almacenamiento,La pantalla tiene muy buena calidad y la entrega fue puntual
4102,Samsung,Galaxy S24,Amazon,4,Positivo,servicio al cliente,Muy satisfecho con la compra y el tiempo de entrega
4103,Apple,iPhone 14,Tienda Oficial Apple,3,Neutral,rendimiento,La cámara es aceptable para su precio
4104,Samsung,Galaxy A35,Mercado Libre,5,Positivo,rendimiento,Llegó antes de la fecha prometida y en perfectas condiciones
4105,Xiaomi,Redmi Note 13,Tienda Oficial Xiaomi,2,Negativo,precio,La batería dura muy poco
4106,Xiaomi,Redmi Note 13,Mercado Libre,4,Positivo,precio,Llegó antes de la fecha prometida y en perfectas condiciones
4107,Xiaomi,Redmi Note 13,Amazon,3,Neutral,entrega,La cámara es aceptable para su precio
4108,Xiaomi,Redmi Note 13,Mercado Libre,1,Negativo,precio,Presentó fallas después de pocos días
4109,Huawei,P60,Tienda Oficial Huawei,1,Negativo,batería,La cámara no cumple con lo prometido
4110,Xiaomi,Redmi Note 13,Tienda Oficial Xiaomi,5,Positivo,almacenamiento,Superó mis expectativas en rendimiento y batería
4111,Samsung,Galaxy A35,Tienda Oficial Samsung,5,Positivo,precio,Muy satisfecho con la compra y el tiempo de entrega
4112,Samsung,Galaxy A55,Tienda Oficial Samsung,5,Positivo,servicio al cliente,Muy buena cámara y excelente rendimiento
4113,Xiaomi,Redmi Note 14,Mercado Libre,3,Neutral,precio,El producto llegó correctamente aunque tardó algunos días
4114,Motorola,Moto G54,Amazon,1,Negativo,cámara,La entrega se demoró demasiado y llegó fuera de la fecha prometida
4115,Xiaomi,Redmi Note 14,Amazon,3,Neutral,precio,El celular cumple con lo esperado
4116,Apple,iPhone 16e,Amazon,4,Positivo,pantalla,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
4117,Motorola,Moto G54,Tienda Oficial Motorola,4,Positivo,precio,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
4118,Motorola,Moto G54,Tienda Oficial Motorola,3,Neutral,precio,El producto llegó correctamente aunque tardó algunos días
4119,Motorola,Moto G84,Tienda Oficial Motorola,5,Positivo,precio,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
4120,Apple,iPhone 14,Mercado Libre,3,Neutral,rendimiento,Tiene ventajas y desventajas según el uso
4121,Xiaomi,Redmi Note 14,Amazon,2,Negativo,batería,El rendimiento es lento para algunas aplicaciones
4122,Samsung,Galaxy A55,Amazon,4,Positivo,entrega,El servicio fue excelente y recibí el producto rápidamente
4123,Huawei,Nova 12,Tienda Oficial Huawei,1,Negativo,pantalla,La atención al cliente fue deficiente y la entrega tardó mucho
4124,Motorola,Moto G54,Mercado Libre,5,Positivo,batería,Muy satisfecho con la compra y el tiempo de entrega
4125,Samsung,Galaxy A35,Tienda Oficial Samsung,4,Positivo,cámara,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
4126,Samsung,Galaxy A55,Amazon,5,Positivo,batería,El servicio fue excelente y recibí el producto rápidamente
4127,Huawei,P60,Amazon,4,Positivo,cámara,"Gran relación calidad precio, recomendado"
4128,Xiaomi,Poco X6,Amazon,2,Negativo,pantalla,La cámara no cumple con lo prometido
4129,Samsung,Galaxy A55,Amazon,4,Positivo,cámara,Llegó antes de la fecha prometida y en perfectas condiciones
4130,Apple,iPhone 15,Amazon,3,Neutral,rendimiento,Es un equipo normal para el uso diario
4131,Apple,iPhone 14,Amazon,5,Positivo,batería,La pantalla tiene muy buena calidad y la entrega fue puntual
4132,Huawei,Mate 50,Tienda Oficial Huawei,1,Negativo,servicio al cliente,La cámara no cumple con lo prometido
4133,Samsung,Galaxy S24,Tienda Oficial Samsung,4,Positivo,batería,Llegó antes de la fecha prometida y en perfectas condiciones
4134,Apple,iPhone 16e,Mercado Libre,5,Positivo,entrega,Superó mis expectativas en rendimiento y batería
4135,Xiaomi,Poco X6,Mercado Libre,4,Positivo,entrega,El servicio fue excelente y recibí el producto rápidamente
4136,Motorola,Moto G54,Tienda Oficial Motorola,1,Negativo,precio,Mala relación calidad precio
4137,Apple,iPhone 15,Mercado Libre,2,Negativo,servicio al cliente,Presentó fallas después de pocos días
4138,Samsung,Galaxy S24,Tienda Oficial Samsung,2,Negativo,almacenamiento,Mala relación calidad precio
4139,Apple,iPhone 14,Amazon,3,Neutral,cámara,Tiene ventajas y desventajas según el uso
4140,Huawei,Mate 50,Mercado Libre,3,Neutral,pantalla,El producto llegó correctamente aunque tardó algunos días
4141,Motorola,Moto G84,Tienda Oficial Motorola,4,Positivo,pantalla,El servicio fue excelente y recibí el producto rápidamente
4142,Samsung,Galaxy A35,Mercado Libre,4,Positivo,servicio al cliente,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
4143,Motorola,Moto G84,Amazon,1,Negativo,entrega,Mala relación calidad precio
4144,Apple,iPhone 16e,Amazon,2,Negativo,cámara,El rendimiento es lento para algunas aplicaciones
4145,Motorola,Moto G54,Mercado Libre,2,Negativo,pantalla,El equipo se calienta demasiado durante el uso
4146,Samsung,Galaxy A55,Mercado Libre,4,Positivo,precio,Superó mis expectativas en rendimiento y batería
4147,Motorola,Moto G84,Amazon,5,Positivo,cámara,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
4148,Huawei,P60,Tienda Oficial Huawei,1,Negativo,servicio al cliente,El rendimiento es lento para algunas aplicaciones
4149,Apple,iPhone 15,Tienda Oficial Apple,4,Positivo,servicio al cliente,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
4150,Apple,iPhone 14,Tienda Oficial Apple,5,Positivo,entrega,Muy satisfecho con la compra y el tiempo de entrega
4151,Huawei,P60,Amazon,2,Negativo,almacenamiento,La entrega se demoró demasiado y llegó fuera de la fecha prometida
4152,Samsung,Galaxy S24,Amazon,4,Positivo,batería,Muy satisfecho con la compra y el tiempo de entrega
4153,Samsung,Galaxy A55,Mercado Libre,4,Positivo,pantalla,Superó mis expectativas en rendimiento y batería
4154,Samsung,Galaxy A55,Tienda Oficial Samsung,4,Positivo,servicio al cliente,"Gran relación calidad precio, recomendado"
4155,Huawei,Nova 12,Tienda Oficial Huawei,5,Positivo,pantalla,Superó mis expectativas en rendimiento y batería
4156,Huawei,Mate 50,Mercado Libre,1,Negativo,precio,El rendimiento es lento para algunas aplicaciones
4157,Motorola,Edge 50,Mercado Libre,1,Negativo,almacenamiento,Mala relación calidad precio
4158,Xiaomi,Redmi Note 14,Mercado Libre,1,Negativo,pantalla,Presentó fallas después de pocos días
4159,Samsung,Galaxy S24,Tienda Oficial Samsung,5,Positivo,rendimiento,La pantalla tiene muy buena calidad y la entrega fue puntual
4160,Samsung,Galaxy A35,Amazon,3,Neutral,rendimiento,Tiene ventajas y desventajas según el uso
4161,Apple,iPhone 16e,Mercado Libre,2,Negativo,entrega,El rendimiento es lento para algunas aplicaciones
4162,Huawei,Nova 12,Mercado Libre,2,Negativo,batería,Mala relación calidad precio
4163,Apple,iPhone 15,Mercado Libre,5,Positivo,batería,La pantalla tiene muy buena calidad y la entrega fue puntual
4164,Huawei,Mate 50,Tienda Oficial Huawei,5,Positivo,almacenamiento,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
4165,Huawei,Nova 12,Tienda Oficial Huawei,3,Neutral,precio,El producto llegó correctamente aunque tardó algunos días
4166,Apple,iPhone 15,Tienda Oficial Apple,5,Positivo,precio,La pantalla tiene muy buena calidad y la entrega fue puntual
4167,Motorola,Moto G54,Tienda Oficial Motorola,1,Negativo,entrega,La cámara no cumple con lo prometido
4168,Motorola,Moto G54,Mercado Libre,4,Positivo,servicio al cliente,Muy buena cámara y excelente rendimiento
4169,Samsung,Galaxy A55,Amazon,3,Neutral,precio,Es un equipo normal para el uso diario
4170,Samsung,Galaxy A35,Tienda Oficial Samsung,1,Negativo,precio,La cámara no cumple con lo prometido
4171,Samsung,Galaxy A55,Tienda Oficial Samsung,1,Negativo,cámara,La batería dura muy poco
4172,Apple,iPhone 16e,Mercado Libre,1,Negativo,batería,La cámara no cumple con lo prometido
4173,Xiaomi,Poco X6,Mercado Libre,4,Positivo,servicio al cliente,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
4174,Motorola,Moto G54,Tienda Oficial Motorola,3,Neutral,servicio al cliente,El producto llegó correctamente aunque tardó algunos días
4175,Samsung,Galaxy A35,Amazon,3,Neutral,almacenamiento,La batería tiene un rendimiento promedio
4176,Motorola,Edge 50,Mercado Libre,4,Positivo,entrega,La pantalla tiene muy buena calidad y la entrega fue puntual
4177,Xiaomi,Poco X6,Tienda Oficial Xiaomi,5,Positivo,cámara,La pantalla tiene muy buena calidad y la entrega fue puntual
4178,Apple,iPhone 15,Tienda Oficial Apple,4,Positivo,servicio al cliente,Muy satisfecho con la compra y el tiempo de entrega
4179,Motorola,Edge 50,Tienda Oficial Motorola,4,Positivo,pantalla,El servicio fue excelente y recibí el producto rápidamente
4180,Apple,iPhone 14,Mercado Libre,2,Negativo,servicio al cliente,Mala relación calidad precio
4181,Motorola,Moto G54,Tienda Oficial Motorola,5,Positivo,servicio al cliente,Muy buena cámara y excelente rendimiento
4182,Xiaomi,Redmi Note 14,Tienda Oficial Xiaomi,3,Neutral,pantalla,Es un equipo normal para el uso diario
4183,Huawei,Mate 50,Mercado Libre,3,Neutral,batería,Es un equipo normal para el uso diario
4184,Motorola,Edge 50,Mercado Libre,4,Positivo,cámara,La pantalla tiene muy buena calidad y la entrega fue puntual
4185,Apple,iPhone 15,Amazon,5,Positivo,almacenamiento,La pantalla tiene muy buena calidad y la entrega fue puntual
4186,Apple,iPhone 16e,Tienda Oficial Apple,2,Negativo,precio,La entrega se demoró demasiado y llegó fuera de la fecha prometida
4187,Samsung,Galaxy S24,Mercado Libre,4,Positivo,pantalla,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
4188,Apple,iPhone 15,Mercado Libre,2,Negativo,batería,El equipo se calienta demasiado durante el uso
4189,Samsung,Galaxy S24,Tienda Oficial Samsung,2,Negativo,servicio al cliente,El equipo se calienta demasiado durante el uso
4190,Xiaomi,Redmi Note 13,Tienda Oficial Xiaomi,5,Positivo,pantalla,Muy buena cámara y excelente rendimiento
4191,Huawei,P60,Amazon,5,Positivo,servicio al cliente,El servicio fue excelente y recibí el producto rápidamente
4192,Xiaomi,Redmi Note 13,Amazon,4,Positivo,cámara,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
4193,Apple,iPhone 16e,Mercado Libre,5,Positivo,batería,El servicio fue excelente y recibí el producto rápidamente
4194,Samsung,Galaxy S24,Mercado Libre,5,Positivo,precio,El servicio fue excelente y recibí el producto rápidamente
4195,Xiaomi,Redmi Note 14,Mercado Libre,4,Positivo,batería,Llegó antes de la fecha prometida y en perfectas condiciones
4196,Motorola,Moto G84,Tienda Oficial Motorola,5,Positivo,entrega,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
4197,Motorola,Edge 50,Tienda Oficial Motorola,1,Negativo,almacenamiento,La cámara no cumple con lo prometido
4198,Huawei,P60,Amazon,4,Positivo,batería,Muy buena cámara y excelente rendimiento
4199,Xiaomi,Poco X6,Tienda Oficial Xiaomi,1,Negativo,servicio al cliente,La cámara no cumple con lo prometido
4200,Xiaomi,Poco X6,Tienda Oficial Xiaomi,5,Positivo,entrega,El servicio fue excelente y recibí el producto rápidamente
